PLAYER,Mat_Batting,Not_out,Runs_Batting,High_Score,Avg_Batting,SR_Batting,X100,X50,Mat_Bowling,Overs,Runs_Bowling,Wkts,Avg_Bowling,Econ,SR_Bowling,X4w,X5w
Deepak Hooda,9,4,87,32,21.75,107.4,0,0,9,3,24,0,0,8,0,0,0
Dinesh Karthik,16,6,498,52,49.8,147.77,0,2,0,0,0,0,0,0,0,0,0
Dwayne Bravo,16,6,141,68,35.25,154.94,0,1,16,53.3,533,14,38.07,9.96,22.92,0,0
Evin Lewis,13,0,382,65,29.38,138.4,0,2,0,0,0,0,0,0,0,0,0
Faf du Plessis,6,1,162,67,32.4,125.58,0,1,0,0,0,0,0,0,0,0,0
Gautam Gambhir,6,0,85,55,17,96.59,0,1,0,0,0,0,0,0,0,0,0
Glenn Maxwell,12,0,169,47,14.08,140.83,0,0,12,16,132,5,26.4,8.25,19.2,0,0
Harbhajan Singh,13,0,29,19,9.66,80.55,0,0,13,31.5,270,7,38.57,8.48,27.28,0,0
Hardik Pandya,13,4,260,50,28.88,133.33,0,1,13,42.4,381,18,21.16,8.92,14.22,0,0
Harshal Patel,5,1,60,36,60,181.81,0,0,5,17.3,167,7,23.85,9.54,15,0,0
Heinrich Klaasen,4,1,57,32,19,121.27,0,0,0,0,0,0,0,0,0,0,0
Ishan Kishan,14,0,275,62,22.91,149.45,0,2,0,0,0,0,0,0,0,0,0
Jason Roy,5,1,120,91,30,127.65,0,1,0,0,0,0,0,0,0,0,0
Jaydev U0dkat,15,3,49,26,12.25,128.94,0,0,15,50.2,486,11,44.18,9.65,27.45,0,0
Jofra Archer,10,3,15,8,3,71.42,0,0,10,38.5,325,15,21.66,8.36,15.53,0,0
Jos Buttler,13,3,548,95,54.8,155.24,0,5,0,0,0,0,0,0,0,0,0
JP Duminy,6,3,36,23,36,90,0,0,6,3,36,0,0,12,0,0,0
Kane Williamson ,17,3,735,84,52.5,142.44,0,8,0,0,0,0,0,0,0,0,0
Karun 0ir,13,0,301,54,25.08,136.19,0,2,0,0,0,0,0,0,0,0,0
Kedar Jadhav,1,1,24,24,0,109.09,0,0,0,0,0,0,0,0,0,0,0
Kieron Pollard,9,1,133,50,19,133,0,1,0,0,0,0,0,0,0,0,0
Krish0ppa Gowtham,15,4,126,33,14,196.87,0,0,15,40,312,11,28.36,7.8,21.81,0,0
Kru0l Pandya,14,3,228,41,22.8,145.22,0,0,14,40.1,284,12,23.66,7.07,20.08,0,0
Lokesh Rahul,14,2,659,95,54.91,158.41,0,6,0,0,0,0,0,0,0,0,0
Mahipal Lomror,2,1,20,11,20,95.23,0,0,2,3,27,0,0,9,0,0,0
Ma0n Vohra,4,0,55,45,13.75,117.02,0,0,0,0,0,0,0,0,0,0,0
Mandeep Singh,14,3,252,47,25.2,135.48,0,0,0,0,0,0,0,0,0,0,0
Manish Pandey,15,2,284,62,25.81,115.44,0,3,0,0,0,0,0,0,0,0,0
Manoj Tiwary,5,1,47,35,15.66,106.81,0,0,5,1,10,0,0,10,0,0,0
Marcus Stoinis,7,3,99,29,24.75,130.26,0,0,7,11,120,3,40,10.9,22,0,0
Mayank Agarwal,11,1,120,30,12,127.65,0,0,0,0,0,0,0,0,0,0,0
Mayank Markande,14,4,21,7,10.5,87.5,0,0,14,44,368,15,24.53,8.36,17.6,1,0
Mitchell Johnson,6,2,16,12,0,145.45,0,0,6,21,216,2,108,10.28,63,0,0
Moeen Ali,5,0,77,65,19.25,167.39,0,1,5,13.1,97,3,32.33,7.36,26.33,0,0
Mohammad 0bi,2,0,18,14,9,150,0,0,2,5,47,1,47,9.4,30,0,0
Mohammed Siraj,11,2,25,14,12.5,113.63,0,0,11,41,367,11,33.36,8.95,22.36,0,0
MS Dhoni,16,9,455,79,75.83,150.66,0,3,0,0,0,0,0,0,0,0,0
Nitish Ra0,15,2,304,59,23.38,131.03,0,1,15,6.1,44,4,11,7.13,9.25,0,0
Parthiv Patel,6,1,153,53,30.6,140.36,0,1,0,0,0,0,0,0,0,0,0
Piyush Chawla,15,3,27,12,6.75,79.41,0,0,15,49,412,14,29.42,8.4,21,0,0
Prithvi Shaw,9,0,245,65,27.22,153.12,0,2,0,0,0,0,0,0,0,0,0
Quinton de Kock,8,0,201,53,25.12,124.07,0,1,0,0,0,0,0,0,0,0,0
Rahul Tewatia,8,2,50,24,16.66,116.27,0,0,8,22,173,6,28.83,7.86,22,0,0
Rahul Tripathi,12,3,226,80,25.11,135.32,0,1,0,0,0,0,0,0,0,0,0
Rashid Khan,17,2,59,34,11.8,190.32,0,0,17,68,458,21,21.8,6.73,19.42,0,0
